          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-17;        46;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-18;        44;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-19;        51;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-20;        87;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-21;        45;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-22;        45;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-23;        41;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-24;        41;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-25;        74;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-26;        62;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-27;        83;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-28;        69;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-29;        50;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-30;        55;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-01;        59;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-02;        62;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-03;        50;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-04;        48;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-05;        39;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-06;        35;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-07;        42;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-08;        35;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-09;        30;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-10;        29;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-11;        30;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-12;        28;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-13;        29;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-14;        28;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-15;        38;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-16;        35;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-17;        32;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-18;        39;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-19;        37;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-20;        69;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-21;        58;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-22;        49;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-23;        46;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-24;        53;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-25;        83;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-26;        62;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-27;        47;   -9999.0
